index,ok,http_status,error,local_wall_ms,request_id,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_prompts,batch_target_tokens,batch_max_sequence_length,audio_duration_s,rtf,text
1,True,200,,670.8214413374662,ddcd8fb39710,654.82,10.28,640.36,1,1,100,128,4.2,0.1559,This is another compact request. It is intentionally short for concurrency tests.
2,True,200,,3254.0465788915753,5b355661e3a9,3210.21,580.94,2586.94,16,16,1600,130,4.2,0.7643,Fast response times matter. Efficient batching should reduce total queue pressure.
3,True,200,,3238.465362228453,892c955844fa,3199.99,579.5,2586.94,16,16,1600,130,4.2,0.7619,Please read these two short sentences. They are meant for batching tests.
4,True,200,,3229.133223183453,13baabd1f088,3184.1,566.18,2586.94,16,16,1600,130,4.2,0.7581,This is another compact request. It is intentionally short for concurrency tests.
5,True,200,,3226.0340359061956,39f78354e5b6,3183.96,566.4,2586.94,16,16,1600,130,4.2,0.7581,This is another compact request. It is intentionally short for concurrency tests.
6,True,200,,3216.558209620416,c6215844f062,3186.77,568.46,2586.94,16,16,1600,130,4.2,0.7588,We are measuring API throughput. Keep the delivery smooth and even.
7,True,200,,3215.066979639232,b5ee74cf7644,3170.71,546.61,2586.94,16,16,1600,130,4.2,0.7549,Please read these two short sentences. They are meant for batching tests.
8,True,200,,3166.712868027389,8d9c4d785cfa,3121.47,495.9,2586.94,16,16,1600,130,4.2,0.7432,This benchmark uses one or two sentences. We want realistic short requests.
9,True,200,,3161.341124214232,193776c584aa,3115.79,494.66,2586.94,16,16,1600,130,4.2,0.7419,Please read these two short sentences. They are meant for batching tests.
10,True,200,,3154.2115872725844,774004f473ed,3109.91,485.92,2586.94,16,16,1600,130,4.2,0.7405,OmniVoice is running on a GPU server. This request checks queue behavior.
11,True,200,,3034.6375294029713,6a5db6d4457c,3008.02,392.38,2586.94,16,16,1600,130,4.2,0.7162,This benchmark uses one or two sentences. We want realistic short requests.
12,True,200,,3018.453131429851,588addfaa180,2980.03,361.04,2586.94,16,16,1600,130,4.2,0.7095,This is a short test sentence. It should be easy to batch with others.
13,True,200,,3002.854927442968,d39bf657f371,2967.79,351.38,2586.94,16,16,1600,130,4.2,0.7066,Please read these two short sentences. They are meant for batching tests.
14,True,200,,2978.5022996366024,26a1accbaada,2936.62,307.19,2586.94,16,16,1600,130,4.2,0.6992,The weather looks nice today. Please speak this naturally and clearly.
15,True,200,,2916.1771778017282,160967b948ee,2888.18,266.1,2586.94,16,16,1600,130,4.2,0.6877,This benchmark uses one or two sentences. We want realistic short requests.
16,True,200,,2931.383621878922,c3d47515bc77,2889.92,269.29,2586.94,16,16,1600,130,4.2,0.6881,This benchmark uses one or two sentences. We want realistic short requests.
