index,ok,http_status,error,local_wall_ms,request_id,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_prompts,batch_target_tokens,batch_max_sequence_length,audio_duration_s,rtf,text
1,True,200,,1486.83313280344,0157e4209430,1453.78,10.2,1436.01,1,1,100,128,4.2,0.3461,This is another compact request. It is intentionally short for concurrency tests.
2,True,200,,3278.990212827921,dfe760ebc66b,3247.79,1398.52,1834.2,10,10,1000,130,4.2,0.7733,Fast response times matter. Efficient batching should reduce total queue pressure.
3,True,200,,3277.055430226028,3b7a65e6a41d,3238.93,1391.74,1834.2,10,10,1000,130,4.2,0.7712,Please read these two short sentences. They are meant for batching tests.
4,True,200,,3264.7695103660226,f904ee76024a,3234.01,1387.07,1834.2,10,10,1000,130,4.2,0.77,This is another compact request. It is intentionally short for concurrency tests.
5,True,200,,3276.890774257481,be9b93db2d71,3233.42,1385.66,1834.2,10,10,1000,130,4.2,0.7699,This is another compact request. It is intentionally short for concurrency tests.
6,True,200,,3276.8944250419736,120ccca4b2ee,3238.83,1384.83,1834.2,10,10,1000,130,4.2,0.7712,We are measuring API throughput. Keep the delivery smooth and even.
7,True,200,,3252.0412439480424,f0b0a46c735f,3220.85,1365.94,1834.2,10,10,1000,130,4.2,0.7669,Please read these two short sentences. They are meant for batching tests.
8,True,200,,3192.996120080352,d245a01bad7b,3158.1,1312.48,1834.2,10,10,1000,130,4.2,0.7519,This benchmark uses one or two sentences. We want realistic short requests.
9,True,200,,3182.8485671430826,cca536b161dc,3155.29,1311.66,1834.2,10,10,1000,130,4.2,0.7513,Please read these two short sentences. They are meant for batching tests.
10,True,200,,3180.960106663406,0cee4f155621,3150.25,1305.62,1834.2,10,10,1000,130,4.2,0.7501,OmniVoice is running on a GPU server. This request checks queue behavior.
11,True,200,,3082.8785421326756,cb59396a4f97,3050.55,1204.64,1834.2,10,10,1000,130,4.2,0.7263,This benchmark uses one or two sentences. We want realistic short requests.
12,True,200,,4902.835751883686,71182da75f3a,4875.13,3025.84,1829.62,10,10,1000,130,4.2,1.1607,This is a short test sentence. It should be easy to batch with others.
13,True,200,,4903.917380608618,2d2b7cf34638,4869.42,3017.35,1829.62,10,10,1000,130,4.2,1.1594,Please read these two short sentences. They are meant for batching tests.
14,True,200,,4851.871062070131,51f9c7ca922d,4828.79,2978.92,1829.62,10,10,1000,130,4.2,1.1497,The weather looks nice today. Please speak this naturally and clearly.
15,True,200,,4827.379005029798,49bb5646932f,4791.63,2936.2,1829.62,10,10,1000,130,4.2,1.1409,This benchmark uses one or two sentences. We want realistic short requests.
16,True,200,,4827.744937501848,f9d3991fec97,4792.27,2932.85,1829.62,10,10,1000,130,4.2,1.141,This benchmark uses one or two sentences. We want realistic short requests.
17,True,200,,4814.463600516319,2ad2a35d6c3e,4784.52,2931.59,1829.62,10,10,1000,130,4.2,1.1392,The weather looks nice today. Please speak this naturally and clearly.
18,True,200,,4779.051152989268,abecfe0555e9,4754.07,2906.57,1829.62,10,10,1000,130,4.2,1.1319,Fast response times matter. Efficient batching should reduce total queue pressure.
19,True,200,,4783.161173574626,b21129c8c70a,4750.72,2895.95,1829.62,10,10,1000,130,4.2,1.1311,Please read these two short sentences. They are meant for batching tests.
20,True,200,,4761.942554265261,aaf2619e5bf3,4732.75,2880.34,1829.62,10,10,1000,130,4.2,1.1268,This benchmark uses one or two sentences. We want realistic short requests.
21,True,200,,4767.071273177862,5294e2ac4c3c,4731.85,2876.03,1829.62,10,10,1000,130,4.2,1.1266,This benchmark uses one or two sentences. We want realistic short requests.
22,True,200,,6591.102212667465,bff801bb764e,6562.24,4691.37,1845.16,10,10,1000,130,4.2,1.5624,OmniVoice is running on a GPU server. This request checks queue behavior.
23,True,200,,6562.803745269775,d07ad905e73b,6534.02,4660.35,1845.16,10,10,1000,130,4.2,1.5557,Hello there. This is a short batching benchmark request.
24,True,200,,6542.1467293053865,113e14e9fc7d,6513.43,4638.0,1845.16,10,10,1000,130,4.2,1.5508,Please read these two short sentences. They are meant for batching tests.
25,True,200,,6522.028701379895,719357874dd7,6487.13,4609.54,1845.16,10,10,1000,130,4.2,1.5446,This is another compact request. It is intentionally short for concurrency tests.
26,True,200,,6513.337092474103,6e5d27d0cede,6482.45,4610.05,1845.16,10,10,1000,130,4.2,1.5434,The weather looks nice today. Please speak this naturally and clearly.
27,True,200,,6492.774379439652,f55cc9c3732f,6459.84,4586.72,1845.16,10,10,1000,130,4.2,1.5381,The server should process many users together. This request helps validate that.
28,True,200,,6483.457456342876,4d209d64eabe,6450.98,4572.56,1845.16,10,10,1000,130,4.2,1.5359,This is a short test sentence. It should be easy to batch with others.
29,True,200,,6460.829547606409,666151af4985,6430.6,4562.3,1845.16,10,10,1000,130,4.2,1.5311,We are measuring API throughput. Keep the delivery smooth and even.
30,True,200,,6444.042202085257,1d6935c6d468,6418.79,4551.2,1845.16,10,10,1000,130,4.2,1.5283,Please read these two short sentences. They are meant for batching tests.
31,True,200,,6449.539243243635,359dc229ddcc,6414.4,4538.39,1845.16,10,10,1000,130,4.2,1.5272,This is another compact request. It is intentionally short for concurrency tests.
32,True,200,,8290.403191931546,88f6ff39efae,8263.17,6393.11,1850.5,10,10,1000,130,4.2,1.9674,The server should process many users together. This request helps validate that.
33,True,200,,8271.175006404519,24cec1f3fcc7,8239.64,6366.64,1850.5,10,10,1000,130,4.2,1.9618,This is another compact request. It is intentionally short for concurrency tests.
34,True,200,,8254.721874371171,fe1774dded66,8229.66,6358.89,1850.5,10,10,1000,130,4.2,1.9594,OmniVoice is running on a GPU server. This request checks queue behavior.
35,True,200,,8223.01057074219,dc309e5ba599,8191.44,6314.53,1850.5,10,10,1000,130,4.2,1.9503,This is a short test sentence. It should be easy to batch with others.
36,True,200,,8218.670202419162,bf716e250416,8188.53,6313.75,1850.5,10,10,1000,130,4.2,1.9497,Fast response times matter. Efficient batching should reduce total queue pressure.
37,True,200,,8206.967802718282,524515feaa2e,8178.44,6306.32,1850.5,10,10,1000,130,4.2,1.9472,The weather looks nice today. Please speak this naturally and clearly.
38,True,200,,8152.375811710954,288f10cccc91,8122.36,6259.37,1850.5,10,10,1000,130,4.2,1.9339,Fast response times matter. Efficient batching should reduce total queue pressure.
39,True,200,,8167.73668397218,cd972cbda97f,8133.64,6259.49,1850.5,10,10,1000,130,4.2,1.9366,This is another compact request. It is intentionally short for concurrency tests.
40,True,200,,8163.553001359105,156967e1257e,8127.67,6252.47,1850.5,10,10,1000,130,4.2,1.9352,This is another compact request. It is intentionally short for concurrency tests.
41,True,200,,8137.697012163699,a0f40725ae67,7424.51,5553.37,1850.5,10,10,1000,130,4.2,1.7677,Hello there. This is a short batching benchmark request.
42,True,200,,9980.452061630785,c9f1cdfdcaf0,7424.77,5557.6,1847.02,10,10,1000,130,4.2,1.7678,The weather looks nice today. Please speak this naturally and clearly.
43,True,200,,9975.994278676808,3ff4b4b3df56,7419.85,5548.4,1847.02,10,10,1000,130,4.2,1.7666,This benchmark uses one or two sentences. We want realistic short requests.
44,True,200,,9921.959547325969,739f64d3a046,7416.31,5547.93,1847.02,10,10,1000,130,4.2,1.7658,This is another compact request. It is intentionally short for concurrency tests.
45,True,200,,9896.79606538266,a8b93065742c,7406.18,5546.29,1847.02,10,10,1000,130,4.2,1.7634,Hello there. This is a short batching benchmark request.
46,True,200,,9907.604950480163,6cd82c1ef5f4,7420.33,5549.3,1847.02,10,10,1000,130,4.2,1.7667,Hello there. This is a short batching benchmark request.
47,True,200,,9886.54740061611,456c5a1bad53,7407.85,5547.72,1847.02,10,10,1000,130,4.2,1.7638,This is a short test sentence. It should be easy to batch with others.
48,True,200,,9865.45928567648,95b5e75a9fc6,7413.2,5548.01,1847.02,10,10,1000,130,4.2,1.765,This is a short test sentence. It should be easy to batch with others.
49,True,200,,9859.688504599035,eb10c330635c,7408.08,5541.83,1847.02,10,10,1000,130,4.2,1.7638,The weather looks nice today. Please speak this naturally and clearly.
50,True,200,,9854.86117657274,f3b938c1d250,7406.58,5541.69,1847.02,10,10,1000,130,4.2,1.7635,OmniVoice is running on a GPU server. This request checks queue behavior.
51,True,200,,9849.056975916028,3886bcd22281,7408.39,5541.4,1847.02,10,10,1000,130,4.2,1.7639,This is a short test sentence. It should be easy to batch with others.
52,True,200,,11657.315401360393,96c942e6fb5c,7435.31,5568.86,1843.04,10,10,1000,130,4.2,1.7703,The server should process many users together. This request helps validate that.
53,True,200,,11659.673746675253,b89e7fab7cc3,7429.31,5558.7,1843.04,10,10,1000,130,4.2,1.7689,This is another compact request. It is intentionally short for concurrency tests.
54,True,200,,11672.15838469565,8c98e260a515,7438.85,5564.28,1843.04,10,10,1000,130,4.2,1.7712,Please read these two short sentences. They are meant for batching tests.
55,True,200,,11567.057182081044,c0bb46d0cc3c,7430.59,5557.32,1843.04,10,10,1000,130,4.2,1.7692,Hello there. This is a short batching benchmark request.
56,True,200,,11527.101567015052,dfa3e06b6c6d,7431.27,5558.42,1843.04,10,10,1000,130,4.2,1.7693,This is another compact request. It is intentionally short for concurrency tests.
57,True,200,,11485.975778661668,187fa71ad5f4,7423.01,5551.47,1843.04,10,10,1000,130,4.2,1.7674,Please read these two short sentences. They are meant for batching tests.
58,True,200,,11483.13767556101,65f0fff92585,7420.19,5550.28,1843.04,10,10,1000,130,4.2,1.7667,This benchmark uses one or two sentences. We want realistic short requests.
59,True,200,,11404.737641103566,0a942aab201d,7425.8,5552.58,1843.04,10,10,1000,130,4.2,1.768,This is another compact request. It is intentionally short for concurrency tests.
60,True,200,,11404.857225716114,387c93eed94d,7422.27,5547.59,1843.04,10,10,1000,130,4.2,1.7672,This is a short test sentence. It should be easy to batch with others.
61,True,200,,11387.800940312445,1ea2a5e27476,7414.15,5548.07,1843.04,10,10,1000,130,4.2,1.7653,Fast response times matter. Efficient batching should reduce total queue pressure.
62,True,200,,13245.8821143955,7b68d793e80e,7438.31,5563.84,1851.3,10,10,1000,130,4.2,1.771,Hello there. This is a short batching benchmark request.
63,True,200,,13238.93809877336,70cfe61a351b,7428.18,5557.79,1851.3,10,10,1000,130,4.2,1.7686,Fast response times matter. Efficient batching should reduce total queue pressure.
64,True,200,,13235.019956715405,7199cd28ae26,7424.33,5553.88,1851.3,10,10,1000,130,4.2,1.7677,OmniVoice is running on a GPU server. This request checks queue behavior.
65,True,200,,13213.586430065334,1d85c30b64ea,7424.9,5553.64,1851.3,10,10,1000,130,4.2,1.7678,This is a short test sentence. It should be easy to batch with others.
66,True,200,,13188.093344680965,3ce702db9408,7424.68,5550.08,1851.3,10,10,1000,130,4.2,1.7678,This is another compact request. It is intentionally short for concurrency tests.
67,True,200,,13155.160018242896,03a691210338,7412.49,5550.37,1851.3,10,10,1000,130,4.2,1.7649,We are measuring API throughput. Keep the delivery smooth and even.
68,True,200,,13160.49035359174,5f1ab9c92887,7420.41,5545.98,1851.3,10,10,1000,130,4.2,1.7668,Fast response times matter. Efficient batching should reduce total queue pressure.
69,True,200,,13157.022495754063,7c4c1e492570,7416.78,5543.82,1851.3,10,10,1000,130,4.2,1.7659,Fast response times matter. Efficient batching should reduce total queue pressure.
70,True,200,,13133.630918338895,b453536b87a0,7409.37,5544.78,1851.3,10,10,1000,130,4.2,1.7641,Fast response times matter. Efficient batching should reduce total queue pressure.
71,True,200,,13115.481133572757,f6d4d59251f7,7409.37,5543.55,1851.3,10,10,1000,130,4.2,1.7641,We are measuring API throughput. Keep the delivery smooth and even.
72,True,200,,14602.117536589503,f35980f975d6,7097.95,5573.38,1506.43,10,10,1000,128,4.2,1.69,Hello there. This is a short batching benchmark request.
73,True,200,,14596.872234717011,fe3598ae12cd,7091.7,5562.04,1506.43,10,10,1000,128,4.2,1.6885,The server should process many users together. This request helps validate that.
74,True,200,,14583.111999556422,228f38effcd3,7084.3,5563.25,1506.43,10,10,1000,128,4.2,1.6867,This is another compact request. It is intentionally short for concurrency tests.
75,True,200,,14587.399748153985,ea08796079c1,7084.42,5557.12,1506.43,10,10,1000,128,4.2,1.6868,The server should process many users together. This request helps validate that.
76,True,200,,14587.227381765842,70dd5150c1aa,7091.71,5562.43,1506.43,10,10,1000,128,4.2,1.6885,Hello there. This is a short batching benchmark request.
77,True,200,,14569.819333031774,022be3f8409d,7072.86,5552.93,1506.43,10,10,1000,128,4.2,1.684,Fast response times matter. Efficient batching should reduce total queue pressure.
78,True,200,,14549.301039427519,c45baff19e3f,7074.33,5554.41,1506.43,10,10,1000,128,4.2,1.6844,The server should process many users together. This request helps validate that.
79,True,200,,14531.15798626095,b77dd9479cc1,7083.03,5553.28,1506.43,10,10,1000,128,4.2,1.6864,Fast response times matter. Efficient batching should reduce total queue pressure.
80,True,200,,14498.468737117946,a6baad9a293c,7085.66,5552.22,1506.43,10,10,1000,128,4.2,1.6871,Please read these two short sentences. They are meant for batching tests.
81,True,200,,14480.059831403196,7732b25f51cb,7076.47,5550.5,1506.43,10,10,1000,128,4.2,1.6849,Fast response times matter. Efficient batching should reduce total queue pressure.
82,True,200,,16288.470456376672,f0ec2b36299e,7080.93,5231.11,1837.61,10,10,1000,130,4.2,1.6859,This is another compact request. It is intentionally short for concurrency tests.
83,True,200,,16259.39292088151,0c343dd4d442,7079.2,5228.86,1837.61,10,10,1000,130,4.2,1.6855,OmniVoice is running on a GPU server. This request checks queue behavior.
84,True,200,,16234.098353423178,4bb3db79a309,7083.89,5223.91,1837.61,10,10,1000,130,4.2,1.6866,OmniVoice is running on a GPU server. This request checks queue behavior.
85,True,200,,16122.45880998671,4eb2ef90b226,7071.9,5220.82,1837.61,10,10,1000,130,4.2,1.6838,The weather looks nice today. Please speak this naturally and clearly.
86,True,200,,16090.26836976409,ec2198834825,7082.8,5222.0,1837.61,10,10,1000,130,4.2,1.6864,We are measuring API throughput. Keep the delivery smooth and even.
87,True,200,,16060.923574492335,77a6b47bf142,7084.12,5223.58,1837.61,10,10,1000,130,4.2,1.6867,Hello there. This is a short batching benchmark request.
88,True,200,,16054.63201366365,54a334a4c343,7077.2,5221.07,1837.61,10,10,1000,130,4.2,1.685,We are measuring API throughput. Keep the delivery smooth and even.
89,True,200,,16037.884689867496,7e5c98fe529c,7072.57,5215.77,1837.61,10,10,1000,130,4.2,1.6839,Please read these two short sentences. They are meant for batching tests.
90,True,200,,16012.267369776964,a49fba96538b,7073.75,5217.95,1837.61,10,10,1000,130,4.2,1.6842,The weather looks nice today. Please speak this naturally and clearly.
91,True,200,,16004.639481194317,f042150f1b16,7067.18,5215.53,1837.61,10,10,1000,130,4.2,1.6827,This is a short test sentence. It should be easy to batch with others.
92,True,200,,17490.33361300826,8490ef395ff5,6714.91,5218.98,1479.79,9,9,900,130,4.2,1.5988,The server should process many users together. This request helps validate that.
93,True,200,,17468.917967751622,101fcbc427b9,6711.78,5220.26,1479.79,9,9,900,130,4.2,1.598,Fast response times matter. Efficient batching should reduce total queue pressure.
94,True,200,,17444.10755764693,7df1cf92f7ef,6709.47,5214.62,1479.79,9,9,900,130,4.2,1.5975,OmniVoice is running on a GPU server. This request checks queue behavior.
95,True,200,,17437.938852235675,482d4435fcc3,6699.84,5205.98,1479.79,9,9,900,130,4.2,1.5952,Hello there. This is a short batching benchmark request.
96,True,200,,17422.711824066937,8e9ea885e770,6697.61,5203.97,1479.79,9,9,900,130,4.2,1.5947,Fast response times matter. Efficient batching should reduce total queue pressure.
97,True,200,,17419.006197713315,46786615f6da,6699.64,5205.71,1479.79,9,9,900,130,4.2,1.5952,We are measuring API throughput. Keep the delivery smooth and even.
98,True,200,,17417.679889127612,a1869183ada0,6703.07,5206.22,1479.79,9,9,900,130,4.2,1.596,This benchmark uses one or two sentences. We want realistic short requests.
99,True,200,,17375.550833530724,7696a1a045b4,6697.75,5204.28,1479.79,9,9,900,130,4.2,1.5947,Please read these two short sentences. They are meant for batching tests.
