index,ok,http_status,error,local_wall_ms,request_id,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_prompts,batch_target_tokens,batch_max_sequence_length,batch_estimated_memory_mb,worker_id,worker_pid,gpu_utilization_peak_pct,gpu_memory_total_mb,gpu_memory_used_peak_mb,gpu_memory_free_before_mb,gpu_memory_free_after_mb,gpu_allocator_allocated_mb,gpu_allocator_reserved_mb,gpu_allocator_peak_allocated_mb,gpu_allocator_peak_reserved_mb,audio_duration_s,rtf,text
1,True,200,,1352.8804313391447,ec3361a20b2b,1336.0,11.94,1318.37,1,1,100,128,21.41,worker-1,1126857,99.0,24576.0,7765.0,16635.0,16371.0,3488.13,3590.0,3544.22,3590.0,4.2,0.3181,This is another compact request. It is intentionally short for concurrency tests.
2,True,200,,1357.8225774690509,aa43771f34ae,1342.82,10.35,1326.67,1,1,100,127,21.24,worker-2,1126993,99.0,24576.0,7767.0,16635.0,16369.0,3488.13,3592.0,3544.22,3592.0,4.2,0.3197,Fast response times matter. Efficient batching should reduce total queue pressure.
3,True,200,,8663.586474955082,1c9b1a6c00b8,8637.51,1270.6,7346.55,24,24,2400,130,521.9,worker-1,1126857,100.0,24576.0,12315.0,16371.0,11821.0,3488.27,6630.0,4814.64,6630.0,4.2,2.0565,Please read these two short sentences. They are meant for batching tests.
4,True,200,,8977.75969747454,c1aeb004c5bb,8946.38,1332.29,7596.11,24,24,2400,130,521.9,worker-2,1126993,100.0,24576.0,12975.0,16369.0,11161.0,3488.27,6632.0,4814.64,6632.0,4.2,2.1301,This is another compact request. It is intentionally short for concurrency tests.
5,True,200,,8983.44403784722,7fff7e0a29af,8955.15,1332.7,7596.11,24,24,2400,130,521.9,worker-2,1126993,100.0,24576.0,12975.0,16369.0,11161.0,3488.27,6632.0,4814.64,6632.0,4.2,2.1322,This is another compact request. It is intentionally short for concurrency tests.
6,True,200,,8660.148509778082,6f161d62c186,8633.25,1261.42,7346.55,24,24,2400,130,521.9,worker-1,1126857,100.0,24576.0,12315.0,16371.0,11821.0,3488.27,6630.0,4814.64,6630.0,4.2,2.0555,We are measuring API throughput. Keep the delivery smooth and even.
7,True,200,,8617.13931336999,055246a92f72,8602.0,1239.43,7346.55,24,24,2400,130,521.9,worker-1,1126857,100.0,24576.0,12315.0,16371.0,11821.0,3488.27,6630.0,4814.64,6630.0,4.2,2.0481,Please read these two short sentences. They are meant for batching tests.
8,True,200,,8912.443457171321,3617a60e4766,8887.98,1263.52,7596.11,24,24,2400,130,521.9,worker-2,1126993,100.0,24576.0,12975.0,16369.0,11161.0,3488.27,6632.0,4814.64,6632.0,4.2,2.1162,This benchmark uses one or two sentences. We want realistic short requests.
9,True,200,,8575.841504149139,a24889eebc71,8552.14,1188.52,7346.55,24,24,2400,130,521.9,worker-1,1126857,100.0,24576.0,12315.0,16371.0,11821.0,3488.27,6630.0,4814.64,6630.0,4.2,2.0362,Please read these two short sentences. They are meant for batching tests.
10,True,200,,8898.828881792724,961f2f849222,8876.65,1253.26,7596.11,24,24,2400,130,521.9,worker-2,1126993,100.0,24576.0,12975.0,16369.0,11161.0,3488.27,6632.0,4814.64,6632.0,4.2,2.1135,OmniVoice is running on a GPU server. This request checks queue behavior.
11,True,200,,8458.364070393145,4e48c3474bb0,8442.54,1079.75,7346.55,24,24,2400,130,521.9,worker-1,1126857,100.0,24576.0,12315.0,16371.0,11821.0,3488.27,6630.0,4814.64,6630.0,4.2,2.0101,This benchmark uses one or two sentences. We want realistic short requests.
12,True,200,,8766.418089158833,bacd17f8fdcb,8742.67,1127.99,7596.11,24,24,2400,130,521.9,worker-2,1126993,100.0,24576.0,12975.0,16369.0,11161.0,3488.27,6632.0,4814.64,6632.0,4.2,2.0816,This is a short test sentence. It should be easy to batch with others.
