index,ok,http_status,error,local_wall_ms,request_id,latency_ms,queue_wait_ms,batch_exec_ms,batch_requests,batch_prompts,batch_target_tokens,batch_max_sequence_length,batch_estimated_memory_mb,worker_id,worker_pid,gpu_utilization_peak_pct,gpu_memory_total_mb,gpu_memory_used_peak_mb,gpu_memory_free_before_mb,gpu_memory_free_after_mb,gpu_allocator_allocated_mb,gpu_allocator_reserved_mb,gpu_allocator_peak_allocated_mb,gpu_allocator_peak_reserved_mb,audio_duration_s,rtf,text
1,True,200,,782.9453460872173,63de53f3c939,767.31,10.37,753.45,1,1,100,303,50.9,worker-1,1126857,100.0,24576.0,19935.0,10181.0,4201.0,3496.26,6658.0,3598.49,6658.0,4.2,0.1827,This is another compact request. It is intentionally short for concurrency tests.
2,True,200,,1833.8070819154382,fc91fdb8ee9b,1812.21,10.66,1478.4,2,2,200,303,101.81,worker-2,1126993,100.0,24576.0,19935.0,6867.0,4201.0,3555.52,12526.0,9289.45,12526.0,4.2,0.4315,Fast response times matter. Efficient batching should reduce total queue pressure.
3,True,200,,14263.110131956637,c5714221f10a,14234.2,700.65,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3891,Please read these two short sentences. They are meant for batching tests.
4,True,200,,18367.999901995063,2a6d9642e99f,18335.12,1467.0,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.3655,This is another compact request. It is intentionally short for concurrency tests.
5,True,200,,18375.142239034176,5e64f932436d,18337.26,1474.01,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.366,This is another compact request. It is intentionally short for concurrency tests.
6,True,200,,14259.107338264585,4d839ba59e0a,14228.42,693.34,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3877,We are measuring API throughput. Keep the delivery smooth and even.
7,True,200,,14220.640996471047,57a4f6f9a116,14201.62,669.56,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3813,Please read these two short sentences. They are meant for batching tests.
8,True,200,,1746.967749670148,440622947f6f,1730.62,1.44,1478.4,2,2,200,303,101.81,worker-2,1126993,100.0,24576.0,19935.0,6867.0,4201.0,3555.52,12526.0,9289.45,12526.0,4.2,0.4121,This benchmark uses one or two sentences. We want realistic short requests.
9,True,200,,14181.538762524724,8f10cd242ef0,14151.3,617.07,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3694,Please read these two short sentences. They are meant for batching tests.
10,True,200,,18274.564266204834,fefc0f7a93a1,18253.59,1392.86,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.3461,OmniVoice is running on a GPU server. This request checks queue behavior.
11,True,200,,14068.49205493927,16ceb610cc69,14042.61,508.62,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3435,This benchmark uses one or two sentences. We want realistic short requests.
12,True,200,,18161.356083117425,e3db7418edb4,18131.36,1210.19,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.317,This is a short test sentence. It should be easy to batch with others.
13,True,200,,14039.730477146804,9ced3e41538d,14010.03,475.01,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3357,Please read these two short sentences. They are meant for batching tests.
14,True,200,,18106.396481394768,b14189a22193,18078.26,1217.32,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.3043,The weather looks nice today. Please speak this naturally and clearly.
15,True,200,,18064.678631722927,4767b80d351a,18040.83,1223.98,16510.43,24,24,2400,305,1229.82,worker-2,1126993,100.0,24576.0,22131.0,4201.0,2005.0,3555.65,13442.0,5992.41,13442.0,4.2,4.2954,This benchmark uses one or two sentences. We want realistic short requests.
16,True,200,,13957.401333376765,e6e448854c93,13928.88,395.77,13519.89,19,19,1900,305,973.6,worker-1,1126857,100.0,24576.0,21215.0,4201.0,2921.0,3496.37,7022.0,5425.84,7022.0,4.2,3.3164,This benchmark uses one or two sentences. We want realistic short requests.
